n,developer,name,website,summary,category
11,Gregory Loh,See Lah! ,https://see-lah.lovable.app/,"A site which hosts 3 different interactive tools. Users can use the tools immediately to create 'sessions' with their teams and they have the option to create a 'Workspace' to save sessions that they have previously conducted with their teams. 

When a user (admin) start a session, there will be a QR Code/Link which another user (participants) can log into to provide their input. After all participants have provided their input, the admin can show the combined input and facilitate a discussion based on how everyone has contributed. There are 3 different tools, i.e. 3 different types of sessions which a user can choose to start depending on the needs of his/her team.  ",Work
12,Laurentia Ho Yue Ming,SGSafeHome,https://sgsafehome.com/,"SGSafeHome is a web-based platform that helps Singapore residents check their home safety readiness, from security measures to emergency preparedness. It provides clear, step-by-step actions to take during emergencies while waiting for help. Primary account holders can invite family members as lightweight guest profiles, who access the account via a secure invitation link without creating full accounts. This enables users and their community to share progress on the preparation checklist and emergency contacts, fostering better coordination and helping everyone be better prepared to handle emergency situations effectively.",Others
13,Gogiladevi Meande,LifeSwap,https://www.life-swap.com/,"The LifeSwap Concept

LifeSwap is a platform that enables users to exchange 1–3 hour “life blocks” providing authentic micro-experiences designed for reflection, learning, and human connection. By facilitating these peer-to-peer swaps, LifeSwap cultivates serendipity, empathy, and mental renewal through lived experience.
In doing so, it pioneers a new “experience economy” that monetizes authenticity and shared humanity, not just curated moments.","Causes (Social, Environment, Sustainability)"
14,Ang Xinyao Desmond,Race Radar SG,https://raceradarsg.com/,"An app where races are reviewed on 4 metrices on whether it is conducive to chase a fast time.

They are:
1) Race Organisation
2) Distance Accuracy
3) Aid Station
4) Course Conditions

Where for (4), it is further broken down to:
a) Flatness
b) Bottlenecks
c) Road Closure

This app is community-driven, by runners for runners in bid to (1) help competitive runners go to well organised races to run fast and (2) for organisers to see this platform as feedback and over time improve race organising and hence increase overall racing performance in Singapore",Everyday Life
15,Clare Ng Shi Duan,Weekend Playbook,"https://weekend-playbook.com/

Note: Schedule can only be sent to my email address. If you click on the Email Schedule button and enter your email address, it will say schedule sent but you will not receive it. ","Weekend Playbook creates customised schedules for parents of children aged 2-12 that incorporate age-appropriate screen time, sleep and physical activity hours, helping parents build confidence in managing their child's digital habits and reduce weekend screen time.",Education and Family
16,Ho Cher Kee Andy,MRT Which Door,"https://mrtwhichdoor.com

[Note: Pls dun try too much else I will get billed by GCP, as I'm tapping on Google Maps Route API with 1st 5k calls per month free]",Find the best door for faster transfers and exits on Singapore MRT,Travel and Transport
17,Ratna Sari Binte Mohamed Hashim,My Travel Journal ,https://sentiment-travel.com,"My Travel Journal (Your digital companion to capture, organise, and relive every journey.)

My Travel Journal unifies key aspects of travel (destinations, photos, reflections, and spending) into one intelligent platform. It transforms scattered travel data into cohesive visual stories, allowing travellers to document, analyse, and share their experiences effortlessly. With built-in analytics and AI insights, users gain a clearer view of their travel patterns, mindful spending habits, and meaningful memories - all in one place.
",Travel and Transport
18,Loh Mun Yew,Convoy Kaki,"https://convoykaki.replit.app






","Convoy Kaki centralizes convoy coordination through automated matching and unified 
trip itinerary (eliminating WhatsApp chaos); provides real-time Open Charge Map API 
charging visibility with ""who's charging where"" coordination (preventing checkpoint 
station crowding); surfaces destination recommendations during convoy formation 
(enabling pre-trip planning vs post-arrival browsing); includes interactive VEP/
border checklists 48h before departure; and integrates SeaLion AI assistant for 
customs/immigration support, Malaysian food culture guidance (halal options, 
regional specialties, dining etiquette), and culturally-aware local insights—
reducing trip anxiety, coordination delays, and cultural missteps while building 
confidence for repeat cross-border exploration.",Travel and Transport
19,Cornelius Chan,Don't Waste Food Lah,dontwastefoodlah.com,"The app will be a match-making app between event organisers and users associated with an organisation. The app is intended to function with minimal inputs from users, event organisers and organisations to encourage adoption. Users can register as a food recipient and associate themselves with up to 3 organisations. Other users who organise events can use the same app to create events and broadcast alerts when there is excess food available for consumption. ","Causes (Social, Environment, Sustainability)"
20,Lee Ying Ying,AI@Work Navigator,https://aiforu.tech/,"Personalised recommendations: web app uses a quiz to personalise recommendations for users in the functional domains, and the curated information can directly help them in improving their productivity at work.

Comprehensive information in one-stop: The website compiled information from the web which include courses, tools, and workflows, that can help professionals across HR, Legal, Marketing, and Accounting embrace AI and GenAI technologies to improve efficiency. there are also information on ethical considerations of AI in their day-to-day workflows.

Every business will have these functional roles. This webapp will be useful even for the smallest SME. ",Everyday Life
21,Tan Jing Yu William,BotaniCare,"https://botanicare.online/
(Please create an account, and link to your Telegram account if you wish to test the bot out :))","BotaniCare helps users keep track of their plants with simple tools for logging watering and fertilising, along with clear care histories.

A built-in Telegram bot can send daily care reminders and weather-based alerts, which are especially useful for outdoor setups.

Users can organise plants into Groups and mark each group as Indoor or Outdoor, with weather notifications sent only to outdoor groups.

BotaniCare also includes a plant diary, where users can record notes and photos to document growth, troubleshoot issues, or track changes over time. Diary entries can be shared directly with the community, creating a space where users learn from each other through real examples, updates, and discussions.

A straightforward tool for users managing anything from a small indoor collection to a larger outdoor garden.",Everyday Life
22,"Ng Yu Xin, Karen",That Time We,"thattimewesg.com

Note: An account is needed to log in and use the app features. You may sign up, or drop me a message on Slack and I'll give you my login details so you don't have to create an account. Thanks!","That Time We is an AI-assisted journaling web app that makes it easy to compile, caption, and relive shared memories. It transforms scattered photos, videos, and thoughts into organised, story-rich journals that can be revisited at any time. Users can create folders, add captions, locations, and tags, and co-curate albums without the clutter or privacy concerns of social media. With AI-powered features and a visual, low-effort design, it helps users of all ages — from seniors to families — to cultivate the habit of journaling and collate treasured memories in a single digital space. ","Health (Mental, Physical, Financial)"
23,Douglas Goh,My DigitLife Compass,https://lovable.dev/projects/bf1e2e04-f0e5-48fe-a672-e0004461d0be?magic_link=mc_966d10b8-c68f-4c83-9a8e-2aebdbe87c97,"The MyDigitaLife Compass web app aims to streamline workflow by providing a single, seamless platform for Digital Ambassadors to engage seniors more effectively during community outreach events. 
It reduces manual steps, improves consistency of engagement, and enhances seniors’ overall experience. It also empowers DAs with real-time information, shortens engagement cycles, and aims to raise the current 10% conversion rate to at least 30%.
",Work
24,Jeffrey Lee,RetireReady,"https://sgretireready.com

Click on ""Continue as Guest"" to access the application without signing in.

You could also sign up for an account (no email confirmation is required), then sign in using the account you just created.","The webapp provides a Retirement Readiness Score to help working adults aged between 25 to 60 to achieve their desired retirement lifestyle according to their preferred retirement age. The application gathers key financial and lifestyle indicators - such as savings, investments, insurance converage, debts and retirement goals and converts them into a Readiness Score. Users can explore personalised recommedations, adjust lifestyle or financial inputs, and visualise how these changes impact their retirement outlook, enabling them to make informed decisions on their lifestyle.

","Health (Mental, Physical, Financial)"
25,Edmund Cheong,MyMakanMap,"mymakanmap.com


user: techup5@gmail.com
pw: techup5","A personal restaurant wishlist that lets diners save discovered restaurants, view them on a list and map, and filter by location, price, or cuisine for quick selection.",Everyday Life
26,Justyn Lim Lai Fu,CaseSync,"https://casesync.lovable.app

User accounts:
Teacher:
teacher@moe.sg

Discipline Master:
dm@moe.sg

Counsellor:
sc@moe.sg

Special Needs Officer:
sen@moe.sg

All passwords - 12345","A web application that consolidates fragmented student support workflows into a single collaborative system for Case Management Teams. Features dual architecture supporting both student-centric profiles for ongoing cases and incident-centric logging for discrete events, with real-time cross-role collaboration, privacy-protected referrals, AI-powered intervention recommendations, and mobile-responsive access. Transforms case management from a fragmented 5-8 hour weekly process into a coordinated workflow under 3 hours, ensuring vulnerable students receive timely support without repeatedly sharing traumatic experiences across different staff members.

Core Value: Reduces administrative burden while enabling coordinated student support through unified data access and seamless collaboration.",Work
27,Ng Shi Kai,CardLobang,https://cardlobang.lovable.app/,"CardLobang eliminates decision paralysis for young Singaporeans by instantly calculating their Estimated Annual Financial Benefit and recommending the single most rewarding entry-level credit card for their unique spending habits, driving confident applications.","Health (Mental, Physical, Financial)"
28,Muhammad Fazli Hamdan,"CleanCompare.sg

Client Login:

kins1704@gmail.com

Password:

kins1704

Company Login:

Company Name: Test1

UEN: 123456789A



",https://cleancomparesg.lovable.app,"Compare. Choose. Clean.
Singapore’s easiest way to find trusted cleaning pros.",Everyday Life
29,Lisa Chin,VoucHere,"https://cdcvouchere.com/

Note: the application can be used without an account BUT if you don't want to create an account, a user account has already been created. 
user: user@mail.com
password: password1","VoucHere helps users find places to use their SG60 vouchers by showing users places near them where they can use their vouchers. The filters tailored to popular preferences (Halal, vegetarian, cafes) help the user further narrow their search. ",Everyday Life
30,Leonie Tan,Next Chapter,https://nextchaptersg.lovable.app/,"Next Chapter is a web application that connects retired PMETs with volunteer opportunities that match their interests, skills and availability, helping them rediscover purpose while making a meaningful impact in the community after leaving the workforce. The application allows users to sign up for volunteering opportunities, invite friends to join in the volunteering events and share their experiences to inspire others. Community agencies can also participate through a dedicated portal where they post opportunities and manage volunteer sign-ups. 
","Causes (Social, Environment, Sustainability)"
31,Chua Chong Tzeh,,,,Work
32,Pei En,,https://tuneyourvoice.me ,"Harmonix: Interactive Vocal Training App 

Harmonix is a web-based singing training application that helps users develop their pitch accuracy and harmony skills through interactive exercises. The app uses your device's microphone to listen to your singing in real-time and provides instant feedback on your performance.

How it works:
1.        Onboarding: When you first use the app, you select your voice type (male or female) so the exercises are calibrated to a comfortable pitch range for you. The app then tests your microphone to ensure it can hear you properly.

2.        Progressive Learning Path: The app has three levels that gradually increase in difficulty:
•        Level 0: Pitch matching basics - You sing simple sustained notes to develop pitch accuracy
•        Level 1: Melody singing - You learn to sing familiar melodies note-by-note
•        Level 2: Harmony training - You sing harmony notes (like major and minor thirds) while the app plays a reference melody

3.        Real-time Feedback: As you sing, the app analyzes your voice using pitch detection technology and shows:
•        Visual feedback on whether you're hitting the right notes
•        Your pitch compared to the target pitch (with visual bars and graphs)
•        Helpful hints and encouragement from an animated mascot character
•        Progress tracking showing your accuracy scores

4.        Adaptive Difficulty: You need to achieve certain scores to unlock higher levels. The app tracks your best performances and lets you retry exercises to improve.

",Everyday Life
33,Joni Pek,Fit5,"https://fit5.lovable.app/
fit5sg.com ","A  wellness platform designed for busy Singaporeans, integrating five key pillars: Move (动), Eat (吃), Nourish (养), Calm (静) and Rest (休). Fit5 delivers bite‑sized, practical wellness tasks that fit seamlessly into daily routines—whether you’re commuting, working, or winding down. Fit5 helps you build healthy habits without overwhelming your schedule.

By focusing on small, consistent actions rather than lengthy routines, Fit5 makes wellness accessible, sustainable and efficient—so you can prioritise your physical health (without needing to be an expert) and feel better each day.","Health (Mental, Physical, Financial)"
34,Vi Ting,,,,Work
35,Siti Hamimah Aminuddin,GiftSG,https://shopgiftsg.com/,"GiftSG is a one-stop social gifting platform that helps corporate staff easily discover and purchase meaningful gifts from multiple social enterprises in Singapore. Users can browse curated items from crafts to corporate sets, view each product’s social impact, and check out with consolidated payment and delivery. By simplifying procurement and giving equal visibility to both large and small non-profits, the platform enables companies to fulfil CSR goals while supporting diverse beneficiary communities.","Causes (Social, Environment, Sustainability)"
36,Victoria Quek,Orbit,https://orbit-sg.lovable.app/,"Orbit is a social fitness web app that helps busy working adults stay consistent through community and accountability. Users can create and share workouts, find partners with similar schedules, and join sessions happening soon to overcome decision fatigue. The app also features likes, comments, and streak celebrations to keep motivation high, and a 6-month visual progress tracker to monitor consistency over time. ",Everyday Life
37,Andy Phang,Sgcarhub,https://sgcarhub.lovable.app/,"SGcarhub is a one-stop car forums that targets to cover all car models sold in Singapore which will allow car owners/users to 
(i) obtain useful car related info which will help all local car owners/users in their car ownership journey such as good deals like car tires, legal performance parts, good external workshops that have experts in dealing with their car models' maintenance issues, etc.; and 
(ii) form an integrated local car community where it gathers all local car owners/users together and organise car related community events like short food trips in Malaysia, cross country travel to Thailand, tracking event in Sepang circuit, etc. to foster community bonding. 

Car owners/users will no longer need to spend time searching across overlapping, unverified or even false online sources for information on their cars and feel that they are always on their own in the car ownership journey. 
",Travel and Transport
38,Gokul Rajendran,,,,Work
39,Nicolas Bureau,Odyssey,"https://techup5-odyssey.com/

Pwd for demo accounts: techup5
Pls feel free to apply online for ""Account Creation"" (as a Requestor from any Business Line)
","Odyssey streamlines IMDA’s content workflows by centralising briefs, edits, approvals and version tracking into one clear process for the Communications and Marketing team and all Business Lines. It replaces lengthy email back-and-forth among all parties with clear stages, defined roles, and automated reminders that speed up collaboration and reduce rework. Online annotation on webpage and social post previews makes feedback simpler, and the built-in AI assistant suggests draft captions and web articles in IMDA’s tone and social personas, giving every team member a consistent base to build from.


Feature summary (no login):
https://techup5-odyssey.com/feature-summary

Bedtime story (no login):
https://techup5-odyssey.com/user-manual",Work
40,Rebekah Tan,From Dusk to Dawn,https://from-dusk-to-dawn.lovable.app,"From Dusk to Dawn is a web app supporting young mothers through pregnancy loss with grief journey tracking and access to curated community support groups, professional help and resources to facilitate healing at their own pace.
","Health (Mental, Physical, Financial)"
41,Ng Yong He,Taste of Home,https://s-voice-cookbook.lovable.app,"Taste of Home helps families preserve and share their culinary heritage. The app makes it easy for seniors to record their recipes using voice, photos, and text inputs, ensuring that no family favourite is ever lost. From traditional family staples to modern household favourites, each recipe captures the warmth and story behind every dish. Family members can browse, try, and celebrate these recipes together, creating a living cookbook that grows with each generation. With Taste of Home, passing down recipes becomes more than just sharing food. It’s preserving memories, culture, and love through cooking. Taste of Home is available in all 4 official languages and is mobile responsive to improve accessibility to Singaporean seniors. ",Education and Family
42,Jacqueline Salim,setgo!,"https://setgo.app/

https://setgokid.com/","SetGo! is a family-oriented web application designed to help children aged 9-12 develop time management skills and earn rewards for completing daily activities. The app combines scheduling, gamification, and parental oversight into an engaging platform that teaches responsibility.",Education and Family
43,Loo Ruiqi,Collaterals Must Share,"https://comush.com

There are 4 teams and 2 user roles. Test accounts:

NTC team, regular user/requestor
ruiqi.mci+ntc@gmail.com
UserPW012345

SGTT team, regular user/requestor
ruiqi.mci+sgtt@gmail.com
UserPW012345

CT team, regular user/requestor
ruiqi.mci+requestor@gmail.com
RequestorPW012345

SGTT team, approver
ruiqi.mci+approver@gmail.com
ApproverPW012345","Collaterals Must Share (CoMuSh) is a platform that facilitates the sharing of collaterals between teams while ensuring accurate stocktaking. It helps officers preparing for events easily identify existing collaterals suitable for use, seek the necessary approval to use the collaterals, and return any unused collaterals after events. It is currently tailored to the Translation Department but could potentially serve more teams.",Work
44,Eric Chua,SgSchoolfinder by PT,https://sgschoolfinder-pt.com/,"sgschoolfinder-pt is a webtool that allows parents of P5/P6 students to shortlist secondary schools based on public transport accessibility from their homes. Parents and their children can further refine this shortlist by 2 additional important criteria - PSLE cut-off points and CCA availability. 

This shortlisting tool can be useful when 1) parents of P6 students have to submit 6 ranked schools during the Sec 1 posting exercise following the release of PSLE results, 2) parents and their P5/P6 students are shortlisting schools to visit for respective open houses. 

This tool complements MOE's schoolfinder website which parents can use to find out more information about their shortlisted schools.",Education and Family
45,Francis Lim,CareConnect SG,https://elder-ease-sg.lovable.app,"CareConnect SG eliminates the research burden for family caregivers by consolidating Singapore's fragmented eldercare resources into one intelligent platform. Instead of spending 15-20 hours researching across multiple government agencies, caregivers receive instant, personalised matches to relevant grants, services, and support programmes based on their specific situation. The platform transforms complex navigation and information-gathering into a simple, streamlined experience that connects families directly to the government support they need.",Education and Family
46,Daniel Koh,InTouch Again,https://intouchagain.com,"InTouch Again is a relationship rekindling platform that helps mid-life adults in Singapore overcome the awkwardness of reconnecting with old friends, former colleagues, and past acquaintances.

It provides guided reflection prompts to recall meaningful memories, pre-written message templates to reduce the intimidation of reaching out, calendar integration for concrete meetup scheduling, and progress tracking with milestones to transform social intentions into consistent action. Ultimately addressing the emotional inertia that causes years of social drift and increased loneliness","Causes (Social, Environment, Sustainability)"
47,Eda Pan,One-stop cross-border taxis from anywhere in Singapore to Johor (Larkin).,https://sg-my-taxis.lovable.app,A one stop platform for passengers to get Singapore licenced cross-border taxis from any part of Singapore to Johor (Larkin). ,Travel and Transport
48,Odele Pang,PantryPal,"pantrypal-app.com

","PantryPal helps users keep track of the food in their kitchens to reduce preventable food waste (i.e. uncooked or unconsumed food). Users record the items they have, along with expiry dates.

The app features an email notification system that sends alerts to users to remind them of items that are about to expire, ensuring nothing gets forgotten and wasted. It also tracks discarded items and analyses this data to show users their most common source of food waste and estimated money wasted, to help shape their behaviour. Users can also access food storage guidance to learn how to reduce food spoilage.

Together, these features help users reduce preventable food waste through better kitchen management.

","Causes (Social, Environment, Sustainability)"
49,Weina Lai,"ChaTea 

[pronounced ""chatty"" to give a nod to the social aspects of the platform & ""cha"" (茶) to give a nod to its chinese tea roots]","https://chatea.lovable.app/ --> sign in to access tea recommendations based on flavor profile quiz

https://chatea.lovable.app/profile/aniewial

[need to figure out a custom domain brb; pls use these links first] ","ChaTea bridges the Chinese tea discovery gap by matching tea-curious beginners with teas they'll love through personalized taste-matching and brewing guidance, while helping seasoned drinkers validate quality through community-validated, tea-specific reviews.  It solves for both the ""where do I start?"" and ""is this tea actually good?"" problems in one accessible platform.
",Everyday Life
